# Wavelength,Phthalo Blue,Quinacridone Magenta,Arylide (Hansa) yellow,Titanium White
380.000000000000000,0.012499469332397,0.014521918259561,0.008162835612893,0.158097296953201
390.000000000000000,0.013949240557849,0.002797021996230,0.010610919445753,199.270263671875000
400.000000000000000,0.062847837805748,0.003163893707097,0.009368832223117,0.073465913534164
410.000000000000000,0.044135544449091,0.002364052459598,0.009371075779200,0.065648697316647
420.000000000000000,0.440646857023239,0.002823324641213,0.011263972148299,0.038088724017143
430.000000000000000,0.872150838375092,0.002764392178506,0.012733363546431,0.037387508898973
440.000000000000000,0.055984593927860,0.002474779263139,0.012625232338905,0.042993329465389
450.000000000000000,0.011936390772462,0.002668241038918,0.013064038008451,0.046401031315327
460.000000000000000,0.003330351086333,0.002891456475481,0.013852372765541,0.051690243184566
470.000000000000000,0.000763156742323,0.004637760575861,0.017175924032927,0.149163916707039
480.000000000000000,0.000441931508249,0.104748718440533,0.040827788412571,10.422833442687988
490.000000000000000,0.000523287104443,0.062196221202612,0.515892088413239,0.355958849191666
500.000000000000000,0.000540472392458,0.009694938547909,33.217361450195312,148.825820922851562
510.000000000000000,0.000501639908180,0.003029115265235,0.037510026246309,0.033398438245058
520.000000000000000,0.001082293572836,0.003012061817572,0.018435005098581,0.061703495681286
530.000000000000000,0.005655833054334,0.003275035880506,0.016199614852667,0.093221224844456
540.000000000000000,0.008253238163888,0.003304651472718,1.919653892517090,0.071619302034378
550.000000000000000,1.494491696357727,0.003105635056272,0.016128372400999,0.102307453751564
560.000000000000000,1.397974491119385,0.003648935351521,0.013848377391696,0.462490677833557
570.000000000000000,7.231496334075928,0.003234603209421,0.004157505463809,0.358205556869507
580.000000000000000,0.076930277049541,0.002008333336562,0.002187091624364,9.107366561889648
590.000000000000000,0.184765517711639,0.001135346479714,0.001670697587542,0.313234657049179
600.000000000000000,0.265784651041031,0.000721795368008,0.001509244437329,0.174202159047127
610.000000000000000,0.479884088039398,0.000598133483436,0.001448684488423,0.114363990724087
620.000000000000000,0.620680570602417,0.000661932630464,0.001443889457732,0.078667305409908
630.000000000000000,0.641812324523926,0.000819512410089,0.001382061047480,0.065293177962303
640.000000000000000,0.648597240447998,0.001003852579743,0.001359099987894,0.058342363685369
650.000000000000000,0.643191754817963,0.001178191858344,0.001461236272007,0.056994583457708
660.000000000000000,0.631821751594543,0.001308958395384,0.001350317383185,0.061237007379532
670.000000000000000,0.619648277759552,0.001425193506293,0.001360483118333,0.061765655875206
680.000000000000000,0.618089258670807,0.001522034173831,0.001434955745935,0.057227395474911
690.000000000000000,0.627025306224823,0.001619673101231,0.001430440694094,0.051694162189960
700.000000000000000,0.649296224117279,0.001693704049103,0.001408497453667,0.047576684504747
710.000000000000000,0.686229944229126,0.001802628277801,0.001347346580587,0.045789513736963
720.000000000000000,0.720648229122162,0.001871124608442,0.001284597325139,0.045142404735088
730.000000000000000,0.736971616744995,0.001983785768971,0.001284164376557,0.048106651753187
