Wavelength,Phthalo Blue,Quinacridone Magenta,Arylide (Hansa) yellow,Titanium White
380,0.0495652658898471,0.136879646212499,0.1039844793085,1
390,0.0732525511065466,0.0629942330785833,0.157386510904567,1
400,0.0944946628442373,0.0429689474212863,0.189152295938482,1
410,0.06765933661206,0.0321988192953316,0.192470838701827,1
420,0.0531509448534261,0.0273856401922945,0.208077724465523,1
430,0.040767676355783,0.0258240637118184,0.22919197099569,1
440,0.0268743062339027,0.0255906623826641,0.24358648366764,1
450,0.0187264843081933,0.0261686102754362,0.246757704694342,1
460,0.0156780985326037,0.02752487908469,0.261959728621277,1
470,0.0142089608445974,0.0296237899941078,0.29137197376144,1
480,0.0131821102674459,0.0334183098875821,0.320059907094168,1
490,0.0123146588825955,0.0388780088203953,0.382814528275119,1
500,0.0110655912968713,0.0440367664472739,0.486895075082476,1
510,0.00974149533362016,0.0521644124856643,0.402960722853954,1
520,0.0117347584458232,0.0684666777231545,0.346376723690672,1
530,0.0175217742502217,0.0926280189660523,0.279124659779846,1
540,0.0279145364297522,0.103929259545524,0.207870305723293,1
550,0.0456165010592652,0.104261710974374,0.162818387170947,1
560,0.0724726259814369,0.115898283327005,0.141690553204417,1
570,0.113974353272992,0.120814860357663,0.130726597690941,1
580,0.161678073713093,0.0914399429022967,0.123392449945253,1
590,0.206372336517121,0.0581773246306091,0.120892884686133,1
600,0.270384169214088,0.0386170624053259,0.121175964256258,1
610,0.345647135811568,0.0327889623293718,0.123473811793775,1
620,0.404663330955761,0.0362858911100008,0.12346294717639,1
630,0.447813346129455,0.0447116167307081,0.11756763367003,1
640,0.484981102126947,0.0545687113151735,0.11461346363485,1
650,0.484321957581924,0.0639435989744864,0.120387190599505,1
660,0.45441656593325,0.0711257697098112,0.107511181874175,1
670,0.435919998209874,0.0773880164887404,0.107497724706644,1
680,0.449296564712861,0.0824756854142041,0.115852178615904,1
690,0.497896784880323,0.0875882713236123,0.119551716397322,1
700,0.600379366005545,0.0916905966509554,0.122449970490674,1
710,0.767373641728164,0.0982362335578158,0.12064866043304,1
720,0.880742890637535,0.102164280493609,0.113408147825366,1
730,0.858870397995972,0.106542869713764,0.101750180782352,1
740,0.698094801376212,0.109171244743409,0.0901698646754337,1
750,0.516444163127661,0.110911264923847,0.0662883462729863,1
